Hotels,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
384,Lhokseumawe,ID,82.4,broken clouds,5.1801,97.1507,Vina Vira Hotel
393,Cayenne,GF,73.44,few clouds,4.9333,-52.3333,Central Hôtel
397,Manati,PR,77.68,few clouds,18.4275,-66.4921,Hyatt Place - Manatí
402,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Page 63 hostel
415,Dovers,VC,78.19,light rain,12.8833,-61.1833,The Cotton House
427,Benguela,AO,73.11,overcast clouds,-12.5763,13.4055,Hotel Moibela
432,Hervey Bay,AU,78.71,few clouds,-25.2986,152.8535,Hervey Bay Hotel
437,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Paladino
438,Champerico,GT,77.07,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
448,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Vahiny Hotel
449,Namatanai,PG,84.88,light rain,-3.6667,152.4333,Namatanai Hotel
455,Vanimo,PG,81.0,overcast clouds,-2.6741,141.3028,CBC Guesthouse
464,Catamarca,AR,71.06,broken clouds,-28.4696,-65.7852,Hotel de Turismo
479,Sur,OM,75.4,clear sky,22.5667,59.5289,Sur Hotel
488,Phuket,TH,82.62,few clouds,8.0,98.25,Amanpuri
492,Anloga,GH,79.86,light rain,5.7947,0.8973,Hotel de White House
498,Savannah Bight,HN,80.83,light rain,16.45,-85.85,La Giralda
499,Ambilobe,MG,77.63,overcast clouds,-13.2,49.05,Hôtel National
502,Miri,MY,82.54,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
505,Lashio,MM,73.31,few clouds,22.9333,97.75,Golden Kaniri Hotel
519,Morondava,MG,79.2,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
520,Dindigul,IN,75.83,broken clouds,10.35,77.95,Hotel Zhanana Inn
523,Sao Miguel Do Araguaia,BR,71.1,overcast clouds,-13.275,-50.1628,Hotel São Miguel
530,Tefe,BR,74.88,overcast clouds,-3.3542,-64.7114,Hotel Montecarlo
536,Inhambane,MZ,78.3,light rain,-23.865,35.3833,Hotel de Inhambane
537,Rockhampton,AU,85.89,broken clouds,-23.3833,150.5,Rockhampton Plaza
542,Taitung,TW,80.87,broken clouds,22.7583,121.1444,瑞軒民宿
551,Aracati,BR,78.26,overcast clouds,-4.5617,-37.7697,Hotel Complexo Mirante das Gamboas
564,Antalaha,MG,76.86,overcast clouds,-14.9003,50.2788,Hôtel Florida
567,Santa Cruz,BO,71.06,thunderstorm with light rain,-17.8,-63.1667,Aviador Hotel Boutique
570,Sabang,ID,80.29,light rain,5.8933,95.3214,Sabang Hill
572,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Hotel Hero
576,Bosaso,SO,73.99,clear sky,11.2842,49.1816,Bosaso hotel
577,Sinnamary,GF,75.43,moderate rain,5.3833,-52.95,Hôtel du fleuve
581,Sinazongwe,ZM,72.68,overcast clouds,-17.2614,27.4618,Lake View Lodge
598,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
601,Port Augusta,AU,79.61,broken clouds,-32.5,137.7667,Hotel Commonwealth
607,Cabinda,AO,77.14,light rain,-5.55,12.2,Hotel Mayombe
611,Chapada Dos Guimaraes,BR,74.86,overcast clouds,-15.4606,-55.7497,Pousada Rios
621,Makakilo City,US,75.43,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
622,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
627,Matadi,CD,75.16,overcast clouds,-5.8167,13.45,Hôtel Métroplole
629,Sambava,MG,76.17,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
