City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Concordia,AR,2022-12-10 22:00:02,-31.393,-58.0209,85.78,55,100,5.99
67,Tautira,PF,2022-12-10 22:01:04,-17.7333,-149.15,78.4,75,94,6.67
68,Ponta Do Sol,PT,2022-12-10 22:01:39,32.6667,-17.1,74.71,94,100,11.48
69,Sao Joaquim,BR,2022-12-10 22:01:39,-28.2939,-49.9317,64.45,95,83,2.24
70,Brae,GB,2022-12-10 22:01:39,60.3964,-1.353,39.27,58,94,13.42
71,Kavieng,PG,2022-12-10 22:01:40,-2.5744,150.7967,81.81,78,100,8.93
72,Bereda,ES,2022-12-10 22:01:40,43.2686,-7.5406,41.41,100,100,1.03
73,Gat,IL,2022-12-10 22:01:40,31.61,34.7642,59.4,59,10,2.89
74,Buala,SB,2022-12-10 22:01:41,-8.145,159.5921,82.0,76,100,4.32
75,Hermanus,ZA,2022-12-10 22:01:41,-34.4187,19.2345,67.8,86,100,19.46
76,Ushtobe,KZ,2022-12-10 22:01:42,45.2514,77.9838,0.03,82,1,6.73
77,Saint George,US,2022-12-10 21:58:22,37.1041,-113.5841,54.43,38,93,1.99
78,Kangaba,ML,2022-12-10 22:01:42,11.9333,-8.4167,76.59,19,11,5.48
79,Noumea,NC,2022-12-10 22:01:42,-22.2763,166.4572,82.99,99,99,3.33
80,Djibo,BF,2022-12-10 22:01:43,14.1022,-1.6306,74.32,13,18,9.44
81,Severo-Kurilsk,RU,2022-12-10 22:01:43,50.6789,156.125,25.9,73,100,6.31
82,Vestmannaeyjar,IS,2022-12-10 22:01:43,63.4427,-20.2734,32.32,67,4,8.1
83,Ruy Barbosa,BR,2022-12-10 22:01:44,-12.2839,-40.4939,80.38,63,100,1.45
84,Tasiilaq,GL,2022-12-10 22:01:44,65.6145,-37.6368,21.36,62,33,6.13
85,Kamthi,IN,2022-12-10 22:01:44,21.2333,79.2,64.13,40,97,5.99
86,Three Hills,CA,2022-12-10 22:01:45,51.7001,-113.2686,21.61,92,100,7.58
87,Ust-Tsilma,RU,2022-12-10 22:01:45,65.441,52.1498,-15.32,100,100,2.24
88,Marawi,PH,2022-12-10 22:00:55,7.9986,124.2928,67.12,86,100,4.99
89,Comodoro Rivadavia,AR,2022-12-10 22:01:45,-45.8667,-67.5,71.76,28,46,27.02
90,East London,ZA,2022-12-10 22:00:13,-33.0153,27.9116,72.5,89,100,10.47
91,Albany,US,2022-12-10 22:02:35,42.6001,-73.9662,28.22,66,1,3.24
92,Jamestown,US,2022-12-10 21:59:03,42.097,-79.2353,39.02,36,100,4.0
93,Visby,SE,2022-12-10 22:02:46,57.6409,18.296,28.62,86,100,2.3
94,Port Lincoln,AU,2022-12-10 21:58:26,-34.7333,135.8667,62.31,75,99,16.4
95,Hobart,AU,2022-12-10 22:02:46,-42.8794,147.3294,61.27,66,0,12.66
96,Solwezi,ZM,2022-12-10 22:02:46,-12.1688,26.3894,60.13,97,62,3.36
97,Ugoofaaru,MV,2022-12-10 22:02:46,5.6667,73.0,81.07,75,97,16.24
98,Vardo,NO,2022-12-10 22:02:47,70.3705,31.1107,24.78,63,66,23.02
99,Chimore,BO,2022-12-10 22:02:47,-16.9833,-65.1333,84.49,65,100,3.02
100,Yueyang,CN,2022-12-10 22:00:24,29.3333,113.0919,40.33,35,21,14.43
101,Caucaia,BR,2022-12-10 22:02:47,-3.7361,-38.6531,81.03,76,20,8.05
102,Katsuura,JP,2022-12-10 22:02:48,35.1333,140.3,57.06,71,42,16.58
103,Totness,SR,2022-12-10 22:02:48,5.8833,-56.3167,77.83,85,100,9.1
104,Narsaq,GL,2022-12-10 21:58:18,60.9167,-46.05,13.1,63,0,9.73
105,Tena,EC,2022-12-10 22:02:48,-0.9833,-77.8167,75.61,96,85,1.01
106,Cidreira,BR,2022-12-10 22:02:49,-30.1811,-50.2056,74.05,90,100,10.13
107,Luba,GQ,2022-12-10 22:02:49,3.4568,8.5547,81.59,80,29,8.28
108,Flin Flon,CA,2022-12-10 22:02:49,54.7682,-101.865,12.54,97,58,2.71
109,Saint-Philippe,RE,2022-12-10 22:02:49,-21.3585,55.7679,76.59,87,41,9.86
110,Clyde River,CA,2022-12-10 22:02:50,70.4692,-68.5914,-16.37,76,0,6.91
111,Coihueco,CL,2022-12-10 22:02:50,-36.6167,-71.8333,87.06,13,0,10.29
112,Bethel,US,2022-12-10 21:58:16,41.3712,-73.414,37.04,59,3,5.21
113,Batagay,RU,2022-12-10 22:02:50,67.6333,134.6333,-36.69,97,100,2.3
114,Pangody,RU,2022-12-10 22:02:50,65.85,74.4859,-24.02,100,23,4.12
115,Vila Velha,BR,2022-12-10 22:00:42,-20.3297,-40.2925,77.45,91,26,4.5
116,Altea,ES,2022-12-10 22:02:51,38.5989,-0.0514,61.3,57,88,10.4
117,Miranda,CO,2022-12-10 22:00:59,3.2499,-76.2281,77.13,90,87,1.5
118,Chokurdakh,RU,2022-12-10 22:00:05,70.6333,147.9167,-17.1,97,100,11.48
119,Nome,US,2022-12-10 22:02:50,64.5011,-165.4064,26.11,98,100,29.12
120,Loanda,AO,2022-12-10 22:02:51,-8.8368,13.2343,77.56,86,100,9.48
121,Sapozhok,RU,2022-12-10 22:02:51,53.9419,40.6806,35.13,100,100,21.03
122,Thompson,CA,2022-12-10 22:02:03,55.7435,-97.8558,17.56,98,99,2.75
123,Havelock,US,2022-12-10 22:02:52,34.8791,-76.9013,53.01,74,46,1.01
124,Bloomfield,US,2022-12-10 21:59:51,40.8068,-74.1854,40.21,68,40,1.01
125,Koumac,NC,2022-12-10 22:02:52,-20.5667,164.2833,82.51,71,2,5.23
126,Lipetsk,RU,2022-12-10 22:02:52,52.6031,39.5708,35.62,99,100,17.47
127,Vila Franca Do Campo,PT,2022-12-10 22:02:53,37.7167,-25.4333,66.2,85,20,24.27
128,Aklavik,CA,2022-12-10 22:02:53,68.2191,-135.0107,-12.59,99,36,6.98
129,Alta Floresta,BR,2022-12-10 22:00:59,-9.8756,-56.0861,75.04,80,100,4.32
130,Bambous Virieux,MU,2022-12-10 22:02:54,-20.3428,57.7575,76.21,88,75,5.75
131,Shubarkuduk,KZ,2022-12-10 22:02:54,49.1447,56.4872,7.34,88,7,6.49
132,Puerto Del Rosario,ES,2022-12-10 22:02:54,28.5004,-13.8627,69.55,73,20,4.61
133,Carnarvon,AU,2022-12-10 22:02:54,-24.8667,113.6333,68.92,63,34,22.86
134,Ahipara,NZ,2022-12-10 22:02:55,-35.1667,173.1667,69.06,86,100,4.34
135,Lobez,PL,2022-12-10 22:02:55,53.6392,15.6213,26.31,87,29,3.36
136,Grindavik,IS,2022-12-10 22:01:23,63.8424,-22.4338,25.27,80,0,6.91
137,Tonstad,NO,2022-12-10 22:02:55,58.6626,6.7169,14.2,85,50,3.91
138,Bengkulu,ID,2022-12-10 22:03:56,-3.8004,102.2655,74.95,89,100,6.82
139,Brits,ZA,2022-12-10 22:00:36,-25.6347,27.7802,71.17,65,10,3.18
140,Leningradskiy,RU,2022-12-10 22:03:56,69.3833,178.4167,-4.0,95,100,6.51
141,Aksehir,TR,2022-12-10 22:03:56,38.3575,31.4164,47.01,84,88,7.02
142,Shimoda,JP,2022-12-10 22:03:56,34.6667,138.95,53.1,76,27,15.57
143,Vitim,RU,2022-12-10 22:03:57,59.4511,112.5578,5.47,95,100,5.57
144,Bowen,AU,2022-12-10 22:03:57,-20.0167,148.2333,81.61,69,96,11.01
145,Iringa,TZ,2022-12-10 22:03:57,-7.7667,35.7,60.96,82,100,3.22
146,Clearwater,US,2022-12-10 22:00:18,27.9659,-82.8001,77.11,79,0,6.91
147,Port Blair,IN,2022-12-10 22:03:58,11.6667,92.75,78.69,78,100,2.28
148,Punta Arenas,CL,2022-12-10 21:59:17,-53.15,-70.9167,57.31,38,0,26.46
149,Irara,BR,2022-12-10 22:03:58,-12.05,-38.7667,75.9,83,100,10.85
150,Hilo,US,2022-12-10 21:59:27,19.7297,-155.09,80.11,70,67,1.99
151,Humberto De Campos,BR,2022-12-10 22:03:58,-2.5983,-43.4611,79.48,79,9,9.01
152,Goundam,ML,2022-12-10 22:03:58,16.4145,-3.6708,74.62,10,0,9.71
153,Zhigansk,RU,2022-12-10 22:03:59,66.7697,123.3711,-45.29,97,56,7.81
154,Torbay,CA,2022-12-10 22:00:23,47.6666,-52.7314,36.57,96,46,15.01
155,Sai Buri,TH,2022-12-10 22:03:59,6.7013,101.6168,75.31,91,100,8.14
156,Nioro,GM,2022-12-10 22:03:59,13.35,-15.75,78.69,38,0,6.35
157,Tigil,RU,2022-12-10 22:04:00,57.8,158.6667,-4.4,97,96,6.17
158,Qasigiannguit,GL,2022-12-10 22:04:00,68.8193,-51.1922,19.65,75,100,3.8
159,Sur,OM,2022-12-10 22:04:00,22.5667,59.5289,74.35,67,3,1.9
160,Barcelona,ES,2022-12-10 21:59:04,41.3888,2.159,46.54,52,0,11.5
161,Seddon,AU,2022-12-10 22:04:01,-37.8068,144.8916,73.89,51,0,18.41
162,Sangueya,GN,2022-12-10 22:04:01,10.7,-14.3667,77.2,89,4,2.89
163,Superior,US,2022-12-10 22:04:01,46.7208,-92.1041,33.49,93,100,5.75
164,Madang,PG,2022-12-10 22:04:02,-5.2246,145.7966,78.64,88,79,4.05
165,Joshimath,IN,2022-12-10 22:04:02,30.5667,79.5667,45.72,18,11,7.56
166,Nargana,PA,2022-12-10 22:04:04,9.4428,-78.5906,80.11,78,25,14.5
167,Porto Novo,BJ,2022-12-10 22:04:04,6.4965,2.6036,79.97,82,88,7.07
